Timestamp,How old are you? (Numbers only 17-25),Age_Range,What is your gender?,Please specify your ethnicity.,Which online dating platforms have you used?,Which online dating platforms are you currently active on?,"How many times have you met up with someone from an online dating platform? (Please provide a number or write ""not applicable"")","If you have met up with someone, did you stay connected and/or met up with them again?",Do you have a premium subscription of an online dating account?,"These apps usually require you to add at most five descriptors about you (ex: foodie, dogs, movies, dance, tennis). If you have a dating app, please list yours separated by commas. Else, write ""not applicable"".","What are some qualities/descriptor words that make someone else's profile stand out to you? (""not applicable"" otherwise)",What interest categories are the most important to you?,What vices of these would be turn-offs for you?,What vices of these would be turn-ons for you?,Are any of these traits important to you while looking at someone's profile?,"How many matches do you get per day? (Number or range of numbers only) (""not applicable"" otherwise)",How long do you spend on the app per day? (approx.),Reason,"Please rank all of the reasons that you have/use a dating app(s), 1 being the most important reason and 4 being the least important [2nd]","Please rank all of the reasons that you have/use a dating app(s), 1 being the most important reason and 4 being the least important [3rd]","Please rank all of the reasons that you have/use a dating app(s), 1 being the most important reason and 4 being the least important [4th]","What personal 'red-flags' on someone else's profile would make you swipe left? (Ex. 'listens to drake', 'has too many selfies', 'is not religious')","In your opinion/experience, what is the biggest flaw with dating apps?","Please rank these six attributes of someone else's profile, 1 being the most important reason and 6 being the least important [1st]","Please rank these six attributes of someone else's profile, 1 being the most important reason and 6 being the least important [2nd]","Please rank these six attributes of someone else's profile, 1 being the most important reason and 6 being the least important [3rd]","Please rank these six attributes of someone else's profile, 1 being the most important reason and 6 being the least important [4th]","Please rank these six attributes of someone else's profile, 1 being the most important reason and 6 being the least important [5th]","Please rank these six attributes of someone else's profile, 1 being the most important reason and 6 being the least important [6th]","In your opinion/experience, where have you found the most success in finding a relationship?",,,,,Age range,"Please rank all of the reasons that you have/use a dating app(s), 1 being the most important reason and 4 being the least important [1st]"
10/25/2021 21:01:13,22,22-23,Female,Caucasian,Tinder,None,0,Not applicable,No,Not applicable ,Not applicable,"Sports, Going out, Food & drink, Pets, Values & traits",Smoking,Not applicable,"School / Education level, If they have children",Not applicable ,Not applicable,Entertainment,To meet new people,For casual hookups,For a relationship,Only group photos,A lot of the guys act the same,Sincerity,Ambition,Fun,Intelligence,Attractiveness,Interests,Chance encounters,,,,,22-23,Entertainment
10/25/2021 21:04:57,23,22-23,Female,Caucasian,"Tinder, Bumble, Hinge, jswipe",None,3,Yes,No,"religion, travel",jewish tbh,"Creativity, Reading, Music, Food & drink, Traveling, Values & traits",Drugs,Not applicable,"School / Education level, Religious beliefs, Age, If they have children, Family plans",10,Less than 1 hour,Entertainment,For a relationship,To meet new people,For casual hookups,if a guy has pics with girls ,"you can't really tell what someone looks like, i swiped left on my now fiancé because i couldn't tell if i thought he was cute or not HAHA",Attractiveness,Ambition,Sincerity,Fun,Interests,Intelligence,Mutual Friends,,,,,22-23,Entertainment
10/25/2021 21:08:18,18,18-19,Male,Caucasian,None,None,N/A,Not applicable,Not applicable,N/A,N/A,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable ,Not applicable,Entertainment,For a relationship,To meet new people,For casual hookups,Too many photos of their dog ,Allows for cat fishing ,Sincerity,Intelligence,Attractiveness,Ambition,Interests,Fun,Mutual Friends,,,,,18-19,Entertainment
10/25/2021 21:09:37,21,20-21,Male,Caucasian,"Tinder, Bumble, Hinge",None,15,Yes,No,N/A,"Politics, Grab a drink, Video Games","Going out, Film & TV, Music, Values & traits",Smoking,"Drinking, Marijuana","Work / Job title, Politics, Gender / Pronouns / Sexuality, Age, Location, If they have children, Covid vaccine",10,Less than 1 hour,For casual hookups,Entertainment,For a relationship,To meet new people,Republican,Bot accounts ,Attractiveness,Fun,Intelligence,Sincerity,Interests,Ambition,Mutual Friends,,,,,20-21,For casual hookups
10/25/2021 21:10:14,20,20-21,Female,Caucasian,"Tinder, Bumble",None,1,No,No,Not applicable ,Not applicable ,"Creativity, Going out, Music, Food & drink, Traveling, Pets, Values & traits",Drugs,"Drinking, Marijuana","School / Education level, Hometown, Gender / Pronouns / Sexuality, Age, Height, Ethnicity, If they have children, Family plans, Covid vaccine",Not applicable ,Not applicable,For a relationship,To meet new people,Entertainment,For casual hookups,"Drug usage, far away college, major that is hard to find a job in",People swipe or text without effort and it’s hard to judge when people actually care ,Ambition,Interests,Intelligence,Sincerity,Fun,Attractiveness,Mutual Friends,,,,,20-21,For a relationship
10/25/2021 21:13:57,22,22-23,Female,Latino / Hispanic / Latinx / Latina,Tinder,None,2,Yes,Yes,"Dogs,adventures, music, sports, movies ","Kind, dog lover, sports ","Sports, Food & drink, Traveling, Pets, Values & traits","Smoking, Drugs",Drinking,"School / Education level, Age, Height, Location, If they have children",Not applicable ,Not applicable,To meet new people,Entertainment,For casual hookups,For a relationship,"Sexism, racism, homophobic slurs",Catfish,Ambition,Fun,Attractiveness,Interests,Intelligence,Sincerity,Professional settings,,,,,22-23,To meet new people
10/25/2021 21:15:15,22,22-23,Female,"Caucasian, Asian","Tinder, Hinge",None,N/A,Not applicable,Not applicable,"Hawaii, sewing, shopping, reading, Asian food",sugar daddy,"Going out, Staying in, Reading, Food & drink, Traveling","Smoking, Marijuana, Drugs",Drinking,"School / Education level, Politics, Gender / Pronouns / Sexuality, Age, If they have children, Covid vaccine",Not applicable ,Not applicable,For a relationship,Entertainment,For casual hookups,To meet new people,"has too many selfies, tries to be funny but is not at all",they are based on peoples' outer appearance,Sincerity,Ambition,Attractiveness,Intelligence,Fun,Interests,Mutual Friends,,,,,22-23,For a relationship
10/25/2021 21:18:27,22,22-23,Female,Japanese/Caucasian,Hinge,None,2,Yes,No,n/a,"good job, good college, has friends, active",Values & traits,"Marijuana, Drugs",Drinking,"Work / Job title, School / Education level, Hometown, Age, Height, Location, If they have children, Not applicable",30,Less than 1 hour,To meet new people,For a relationship,Entertainment,For casual hookups,"has gym selfies, super low quality pics, always going out pictures, fish pictures",The stereotypes and barriers,Sincerity,Ambition,Intelligence,Interests,Attractiveness,Fun,Mutual Friends,,,,,22-23,To meet new people
10/25/2021 21:20:02,25,24-26,Male,Latino / Hispanic / Latinx / Latina,"Tinder, Bumble, Hinge","Tinder, Bumble, Hinge",33,Yes,Yes,"clubs, bars, active, vaccinated, movies",not applicable,"Sports, Going out, Staying in, Film & TV, Music, Values & traits, active",Not applicable,Not applicable,"School / Education level, Hometown, Age, Height",3,1 hour,For casual hookups,For a relationship,To meet new people,Entertainment,"only group photos, wearing sunglasses in all photos, group photo for first pic, not easily distinguishable, listens to country",people use it for entertainment and/or like to play games with people for their own entertainment,Interests,Attractiveness,Fun,Sincerity,Ambition,Intelligence,Chance encounters,,,,,24-26,For casual hookups
10/25/2021 21:23:33,22,22-23,Female,Asian,Tinder,None,N/A,Not applicable,Not applicable,N/A,"Athletic, funny, attractive, down to earth, adventurous ","Sports, Going out, Staying in, Food & drink, Pets, Values & traits","Smoking, Drugs",Drinking,"Politics, Age, Location",Not applicable ,Not applicable,Entertainment,To meet new people,For casual hookups,For a relationship,"Conceited, has girls in profile, mean, drinks/smokes too much","I’ve never used one seriously, so I haven’t experienced any flaws. ",Fun,Attractiveness,Interests,Sincerity,Intelligence,Ambition,"Organized events (clubs, concerts, etc.)",,,,,22-23,Entertainment
